T,p,Ionization,brems,pair,photonuc,Radloss,dE/dx,CSDA Range,delta,beta,dE/dx_R
1.200e+0,1.597e+1,2.920e+1,0.000e+0,0.000e+0,4.534e-5,4.534e-5,2.920e+1,9.238e-3,0.0000,0.14944,2.920e+1
1.400e+0,1.726e+1,2.595e+1,0.000e+0,0.000e+0,4.542e-5,4.542e-5,2.595e+1,1.652e-2,0.0000,0.16119,2.595e+1
1.700e+0,1.903e+1,2.234e+1,0.000e+0,0.000e+0,4.555e-5,4.555e-5,2.234e+1,2.902e-2,0.0000,0.17725,2.234e+1
2.000e+0,2.066e+1,1.970e+1,0.000e+0,0.000e+0,4.568e-5,4.568e-5,1.970e+1,4.335e-2,0.0000,0.19186,1.970e+1
2.500e+0,2.312e+1,1.655e+1,0.000e+0,0.000e+0,4.589e-5,4.589e-5,1.655e+1,7.117e-2,0.0000,0.21376,1.655e+1
3.000e+0,2.536e+1,1.435e+1,0.000e+0,0.000e+0,4.610e-5,4.610e-5,1.435e+1,1.037e-1,0.0000,0.23336,1.417e+1
3.500e+0,2.742e+1,1.272e+1,0.000e+0,0.000e+0,4.632e-5,4.632e-5,1.272e+1,1.408e-1,0.0000,0.25120,1.240e+1
4.000e+0,2.935e+1,1.146e+1,0.000e+0,0.000e+0,4.653e-5,4.653e-5,1.146e+1,1.822e-1,0.0000,0.26763,1.106e+1
4.500e+0,3.116e+1,1.046e+1,0.000e+0,0.000e+0,4.674e-5,4.674e-5,1.046e+1,2.280e-1,0.0000,0.28290,9.998e+0
5.000e+0,3.289e+1,9.635e+0,0.000e+0,0.000e+0,4.695e-5,4.695e-5,9.635e+0,2.778e-1,0.0000,0.29720,9.141e+0
5.500e+0,3.453e+1,8.949e+0,0.000e+0,0.000e+0,4.716e-5,4.716e-5,8.949e+0,3.317e-1,0.0000,0.31066,8.434e+0
6.000e+0,3.611e+1,8.368e+0,0.000e+0,0.000e+0,4.738e-5,4.738e-5,8.368e+0,3.895e-1,0.0000,0.32339,7.839e+0
7.000e+0,3.909e+1,7.435e+0,0.000e+0,0.000e+0,4.780e-5,4.780e-5,7.435e+0,5.166e-1,0.0000,0.34700,6.894e+0
8.000e+0,4.189e+1,6.719e+0,0.000e+0,0.000e+0,4.823e-5,4.823e-5,6.719e+0,6.583e-1,0.0000,0.36854,6.177e+0
9.000e+0,4.453e+1,6.150e+0,0.000e+0,0.000e+0,4.865e-5,4.865e-5,6.150e+0,8.141e-1,0.0000,0.38836,5.613e+0
1.000e+1,4.704e+1,5.687e+0,0.000e+0,0.000e+0,4.907e-5,4.907e-5,5.687e+0,9.833e-1,0.0000,0.40675,5.159e+0
1.200e+1,5.177e+1,4.979e+0,0.000e+0,0.000e+0,4.992e-5,4.992e-5,4.979e+0,1.360e+0,0.0000,0.43998,4.469e+0
1.400e+1,5.616e+1,4.461e+0,0.000e+0,0.000e+0,5.077e-5,5.077e-5,4.461e+0,1.786e+0,0.0000,0.46937,3.971e+0
1.700e+1,6.230e+1,3.901e+0,0.000e+0,0.000e+0,5.204e-5,5.204e-5,3.902e+0,2.507e+0,0.0000,0.50792,3.438e+0
2.000e+1,6.802e+1,3.502e+0,0.000e+0,0.000e+0,5.332e-5,5.332e-5,3.502e+0,3.321e+0,0.0000,0.54129,3.061e+0
2.500e+1,7.686e+1,3.042e+0,0.000e+0,0.000e+0,5.544e-5,5.544e-5,3.042e+0,4.859e+0,0.0000,0.58827,2.631e+0
3.000e+1,8.509e+1,2.731e+0,0.000e+0,0.000e+0,5.756e-5,5.756e-5,2.731e+0,6.598e+0,0.0000,0.62720,2.343e+0
3.500e+1,9.285e+1,2.508e+0,0.000e+0,0.000e+0,5.968e-5,5.968e-5,2.508e+0,8.512e+0,0.0000,0.66011,2.136e+0
4.000e+1,1.003e+2,2.340e+0,0.000e+0,0.000e+0,6.180e-5,6.180e-5,2.340e+0,1.058e+1,0.0000,0.68834,1.982e+0
4.500e+1,1.074e+2,2.210e+0,0.000e+0,0.000e+0,6.392e-5,6.392e-5,2.210e+0,1.278e+1,0.0000,0.71286,1.862e+0
5.000e+1,1.143e+2,2.107e+0,0.000e+0,0.000e+0,6.605e-5,6.605e-5,2.107e+0,1.510e+1,0.0000,0.73434,1.767e+0
5.500e+1,1.210e+2,2.023e+0,3.229e-7,0.000e+0,6.817e-5,6.849e-5,2.023e+0,1.752e+1,0.0000,0.75332,1.690e+0
6.000e+1,1.276e+2,1.954e+0,1.490e-6,0.000e+0,7.029e-5,7.178e-5,1.954e+0,2.004e+1,0.0000,0.77019,1.626e+0
7.000e+1,1.403e+2,1.848e+0,3.928e-6,0.000e+0,7.453e-5,7.846e-5,1.848e+0,2.531e+1,0.0000,0.79887,1.528e+0
8.000e+1,1.527e+2,1.771e+0,6.495e-6,0.000e+0,7.877e-5,8.527e-5,1.771e+0,3.084e+1,0.0000,0.82227,1.456e+0
9.000e+1,1.647e+2,1.713e+0,9.185e-6,0.000e+0,8.302e-5,9.220e-5,1.713e+0,3.659e+1,0.0000,0.84166,1.401e+0
1.000e+2,1.764e+2,1.669e+0,1.199e-5,0.000e+0,8.726e-5,9.925e-5,1.670e+0,4.250e+1,0.0010,0.85794,1.359e+0
1.200e+2,1.994e+2,1.608e+0,1.793e-5,0.000e+0,9.575e-5,1.137e-4,1.609e+0,5.473e+1,0.0098,0.88361,1.298e+0
1.400e+2,2.218e+2,1.570e+0,2.428e-5,0.000e+0,1.042e-4,1.285e-4,1.570e+0,6.732e+1,0.0247,0.90278,1.258e+0
1.700e+2,2.546e+2,1.536e+0,3.448e-5,0.000e+0,1.170e-4,1.514e-4,1.536e+0,8.666e+1,0.0541,0.92363,1.219e+0
2.000e+2,2.868e+2,1.518e+0,4.544e-5,0.000e+0,1.297e-4,1.751e-4,1.519e+0,1.063e+2,0.0884,0.93835,1.195e+0
2.500e+2,3.396e+2,1.508e+0,6.515e-5,0.000e+0,1.509e-4,2.161e-4,1.508e+0,1.394e+2,0.1508,0.95485,1.172e+0
3.000e+2,3.917e+2,1.509e+0,8.648e-5,0.000e+0,1.721e-4,2.586e-4,1.510e+0,1.725e+2,0.2157,0.96548,1.162e+0
3.500e+2,4.432e+2,1.516e+0,1.092e-4,0.000e+0,1.933e-4,3.025e-4,1.517e+0,2.056e+2,0.2809,0.97274,1.157e+0
