Kinetic,CSDA
1.000E-03,1.741E-05
1.500E-03,2.223E-05
2.000E-03,2.639E-05
2.500E-03,3.009E-05
3.000E-03,3.346E-05
4.000E-03,3.949E-05
5.000E-03,4.483E-05
6.000E-03,4.968E-05
7.000E-03,5.416E-05
8.000E-03,5.834E-05
9.000E-03,6.227E-05
1.000E-02,6.599E-05
1.250E-02,7.463E-05
1.500E-02,8.258E-05
1.750E-02,9.001E-05
2.000E-02,9.703E-05
2.250E-02,1.037E-04
2.500E-02,1.101E-04
2.750E-02,1.163E-04
3.000E-02,1.223E-04
3.500E-02,1.338E-04
4.000E-02,1.449E-04
4.500E-02,1.556E-04
5.000E-02,1.660E-04
5.500E-02,1.762E-04
6.000E-02,1.864E-04
6.500E-02,1.964E-04
7.000E-02,2.064E-04
7.500E-02,2.163E-04
8.000E-02,2.263E-04
8.500E-02,2.363E-04
9.000E-02,2.464E-04
9.500E-02,2.565E-04
1.000E-01,2.668E-04
1.250E-01,3.197E-04
1.500E-01,3.762E-04
1.750E-01,4.368E-04
2.000E-01,5.018E-04
2.250E-01,5.711E-04
2.500E-01,6.447E-04
2.750E-01,7.224E-04
3.000E-01,8.041E-04
3.500E-01,9.789E-04
4.000E-01,1.168E-03
4.500E-01,1.371E-03
5.000E-01,1.586E-03
5.500E-01,1.813E-03
6.000E-01,2.052E-03
6.500E-01,2.301E-03
7.000E-01,2.561E-03
7.500E-01,2.832E-03
8.000E-01,3.112E-03
8.500E-01,3.403E-03
9.000E-01,3.704E-03
9.500E-01,4.015E-03
1.000E+00,4.336E-03
1.250E+00,6.090E-03
1.500E+00,8.087E-03
1.750E+00,1.031E-02
2.000E+00,1.276E-02
2.250E+00,1.543E-02
2.500E+00,1.830E-02
2.750E+00,2.137E-02
3.000E+00,2.465E-02
3.500E+00,3.179E-02
4.000E+00,3.969E-02
4.500E+00,4.833E-02
5.000E+00,5.770E-02
5.500E+00,6.778E-02
6.000E+00,7.856E-02
6.500E+00,9.002E-02
7.000E+00,1.022E-01
7.500E+00,1.150E-01
8.000E+00,1.284E-01
8.500E+00,1.425E-01
9.000E+00,1.573E-01
9.500E+00,1.727E-01
1.000E+01,1.887E-01
1.250E+01,2.780E-01
1.500E+01,3.823E-01
1.750E+01,5.009E-01
2.000E+01,6.335E-01
2.500E+01,9.390E-01
2.750E+01,1.111E+00
3.000E+01,1.296E+00
3.500E+01,1.704E+00
4.000E+01,2.159E+00
4.500E+01,2.661E+00
5.000E+01,3.208E+00
5.500E+01,3.799E+00
6.000E+01,4.433E+00
6.500E+01,5.108E+00
7.000E+01,5.824E+00
7.500E+01,6.580E+00
8.000E+01,7.375E+00
8.500E+01,8.207E+00
9.000E+01,9.077E+00
9.500E+01,9.983E+00
1.000E+02,1.092E+01
1.250E+02,1.614E+01
1.500E+02,2.215E+01
1.750E+02,2.888E+01
2.000E+02,3.627E+01
2.250E+02,4.426E+01
2.500E+02,5.282E+01
2.750E+02,6.189E+01
3.000E+02,7.144E+01
3.500E+02,9.184E+01
4.000E+02,1.138E+02
4.500E+02,1.370E+02
5.000E+02,1.614E+02
5.500E+02,1.869E+02
6.000E+02,2.132E+02
6.500E+02,2.403E+02
7.000E+02,2.681E+02
7.500E+02,2.965E+02
8.000E+02,3.254E+02
8.500E+02,3.548E+02
9.000E+02,3.846E+02
9.500E+02,4.148E+02
1.000E+03,4.454E+02
1.500E+03,7.626E+02
2.000E+03,1.090E+03
2.500E+03,1.418E+03
3.000E+03,1.745E+03
4.000E+03,2.391E+03
5.000E+03,3.022E+03
6.000E+03,3.640E+03
7.000E+03,4.246E+03
8.000E+03,4.842E+03
9.000E+03,5.428E+03
1.000E+04,6.005E+03
